Directa Sim|Directa Sim|D.MI|dati/azioni/json/directasim.json|dati/azioni/csv/directasim.csv|25-02-2023 09:55:58|true
Dotstay|Dotstay|DOT.MI|dati/azioni/json/dotstay.json|dati/azioni/csv/dotstay.csv|25-02-2023 09:55:58|true
Dovalue|Dovalue|DOV.MI|dati/azioni/json/dovalue.json|dati/azioni/csv/dovalue.csv|25-02-2023 09:55:58|true
Doxee|Doxee||dati/azioni/json/doxee.json|dati/azioni/csv/doxee.csv|25-02-2023 08:36:04|true
E.On|E.On||dati/azioni/json/e_on.json|dati/azioni/csv/e_on.csv|25-02-2023 08:36:06|true
Ecosuntek|Ecosuntek||dati/azioni/json/ecosuntek.json|dati/azioni/csv/ecosuntek.csv|25-02-2023 08:36:06|true
Ediliziacrobatica|Ediliziacrobatica||dati/azioni/json/ediliziacrobatica.json|dati/azioni/csv/ediliziacrobatica.csv|25-02-2023 08:36:06|true
Edison Rsp|Edison Rsp||dati/azioni/json/edisonrsp.json|dati/azioni/csv/edisonrsp.csv|25-02-2023 08:36:06|true
Eems|Eems||dati/azioni/json/eems.json|dati/azioni/csv/eems.csv|25-02-2023 08:36:06|true
El.En.|El.En.||dati/azioni/json/el_en_.json|dati/azioni/csv/el_en_.csv|25-02-2023 08:36:06|true
Air France-Klm|Air France-Klm|AF.MI|dati/azioni/json/airfrance_klm.json|dati/azioni/csv/airfrance_klm.csv|25-02-2023 09:55:57|true
Eles|Eles||dati/azioni/json/eles.json|dati/azioni/csv/eles.csv|25-02-2023 08:36:06|true
Elica|Elica||dati/azioni/json/elica.json|dati/azioni/csv/elica.csv|25-02-2023 08:36:06|true
Emak|Emak||dati/azioni/json/emak.json|dati/azioni/csv/emak.csv|25-02-2023 08:36:06|true
Enav|Enav||dati/azioni/json/enav.json|dati/azioni/csv/enav.csv|25-02-2023 08:36:06|true
Enel|Enel|ENEL.MI|dati/azioni/json/enel.json|dati/azioni/csv/enel.csv|25-02-2023 09:55:58|true
Energy|Energy||dati/azioni/json/energy.json|dati/azioni/csv/energy.csv|25-02-2023 08:36:06|true
Enervit|Enervit||dati/azioni/json/enervit.json|dati/azioni/csv/enervit.csv|25-02-2023 08:36:06|true
Engie|Engie||dati/azioni/json/engie.json|dati/azioni/csv/engie.csv|25-02-2023 08:36:06|true
Eni|Eni|ENI.MI|dati/azioni/json/eni.json|dati/azioni/csv/eni.csv|25-02-2023 09:55:58|true
Eprice|Eprice||dati/azioni/json/eprice.json|dati/azioni/csv/eprice.csv|25-02-2023 08:36:06|true
Airbus|Airbus|AIR.MI|dati/azioni/json/airbus.json|dati/azioni/csv/airbus.csv|25-02-2023 09:55:57|true
Equita Group|Equita Group||dati/azioni/json/equitagroup.json|dati/azioni/csv/equitagroup.csv|25-02-2023 08:36:06|true
Erg|Erg||dati/azioni/json/erg.json|dati/azioni/csv/erg.csv|25-02-2023 08:36:06|true
Erredue|Erredue||dati/azioni/json/erredue.json|dati/azioni/csv/erredue.csv|23-02-2023 21:00:28|true
Esautomotion|Esautomotion||dati/azioni/json/esautomotion.json|dati/azioni/csv/esautomotion.csv|25-02-2023 08:36:06|true
Esi|Esi||dati/azioni/json/esi.json|dati/azioni/csv/esi.csv|25-02-2023 08:36:06|true
Esprinet|Esprinet||dati/azioni/json/esprinet.json|dati/azioni/csv/esprinet.csv|25-02-2023 08:36:06|true
Essilorluxottica|Essilorluxottica||dati/azioni/json/essilorluxottica.json|dati/azioni/csv/essilorluxottica.csv|25-02-2023 08:36:06|true
Estrima|Estrima||dati/azioni/json/estrima.json|dati/azioni/csv/estrima.csv|25-02-2023 08:36:06|true
Eukedos|Eukedos||dati/azioni/json/eukedos.json|dati/azioni/csv/eukedos.csv|25-02-2023 08:36:06|true
Eurogroup Laminations|Eurogroup Laminations||dati/azioni/json/eurogrouplaminations.json|dati/azioni/csv/eurogrouplaminations.csv|25-02-2023 08:36:06|true
Ala|Ala||dati/azioni/json/ala.json|dati/azioni/csv/ala.csv|23-02-2023 21:00:21|true
Eurotech|Eurotech||dati/azioni/json/eurotech.json|dati/azioni/csv/eurotech.csv|25-02-2023 08:36:06|true
Eviso|Eviso||dati/azioni/json/eviso.json|dati/azioni/csv/eviso.csv|25-02-2023 08:36:06|true
Evonik Industries|Evonik Industries||dati/azioni/json/evonikindustries.json|dati/azioni/csv/evonikindustries.csv|25-02-2023 08:36:06|true
Expert.Ai|Expert.Ai||dati/azioni/json/expert_ai.json|dati/azioni/csv/expert_ai.csv|25-02-2023 08:36:06|true
Exprivia|Exprivia||dati/azioni/json/exprivia.json|dati/azioni/csv/exprivia.csv|25-02-2023 08:36:06|true
Fae Technology|Fae Technology||dati/azioni/json/faetechnology.json|dati/azioni/csv/faetechnology.csv|25-02-2023 08:36:08|true
Farmacosmo|Farmacosmo||dati/azioni/json/farmacosmo.json|dati/azioni/csv/farmacosmo.csv|25-02-2023 08:36:08|true
Farmae|Farmae||dati/azioni/json/farmae.json|dati/azioni/csv/farmae.csv|25-02-2023 08:36:08|true
Faurecia|Faurecia||dati/azioni/json/faurecia.json|dati/azioni/csv/faurecia.csv|25-02-2023 08:36:08|true
Fenix Entertainment|Fenix Entertainment||dati/azioni/json/fenixentertainment.json|dati/azioni/csv/fenixentertainment.csv|25-02-2023 08:36:08|true
